class,ensembl,gene_symbol
pre_treatment_only,ENSG00000158623,COPG2
pre_treatment_only,ENSG00000158887,MPZ
pre_treatment_only,ENSG00000162711,NLRP3
pre_treatment_only,ENSG00000165280,VCP
pre_treatment_only,ENSG00000171105,INSR
pre_treatment_only,ENSG00000174004,NRROS
pre_treatment_only,ENSG00000176473,WDR25
pre_treatment_only,ENSG00000181789,COPG1
pre_treatment_only,ENSG00000184117,NIPSNAP1
pre_treatment_only,ENSG00000184967,NOC4L
pre_treatment_only,ENSG00000196924,FLNA
pre_treatment_only,ENSG00000198225,FKBP1C
pre_treatment_only,ENSG00000198663,C6orf89
pre_treatment_only,ENSG00000198682,PAPSS2
pre_treatment_only,ENSG00000204311,DFNB59
pre_treatment_only,ENSG00000213024,NUP62
pre_treatment_only,ENSG00000213185,FAM24B
pre_treatment_only,ENSG00000213689,TREX1
pre_treatment_only,ENSG00000213901,SLC23A3
pre_treatment_only,ENSG00000214960,ISPD
pre_treatment_only,ENSG00000227500,SCAMP4
pre_treatment_only,ENSG00000234917,RP5-994D16.3
pre_treatment_only,ENSG00000240694,PNMA2
pre_treatment_only,ENSG00000256582,RP11-75L1.1
pre_treatment_only,ENSG00000259225,RP11-1008C21.1
pre_treatment_only,ENSG00000261218,RP11-960L18.1
pre_treatment_only,ENSG00000262951,RP11-670E13.2
pre_treatment_only,ENSG00000263731,RP11-498C9.15
pre_treatment_only,ENSG00000264508,ENSG00000264508
pre_treatment_only,ENSG00000267730,CTD-2537I9.5
pre_treatment_only,ENSG00000272079,LA16c-380H5.5
pre_treatment_only,ENSG00000272644,RP11-33O4.1
post_treatment_only,ENSG00000001084,GCLC
post_treatment_only,ENSG00000001460,STPG1
post_treatment_only,ENSG00000001461,NIPAL3
post_treatment_only,ENSG00000001631,KRIT1
post_treatment_only,ENSG00000002016,RAD52
post_treatment_only,ENSG00000002549,LAP3
post_treatment_only,ENSG00000002587,HS3ST1
post_treatment_only,ENSG00000002726,AOC1
post_treatment_only,ENSG00000002745,WNT16
post_treatment_only,ENSG00000003056,M6PR
post_treatment_only,ENSG00000003096,KLHL13
post_treatment_only,ENSG00000003402,CFLAR
post_treatment_only,ENSG00000003987,MTMR7
post_treatment_only,ENSG00000004059,ARF5
post_treatment_only,ENSG00000004139,SARM1
post_treatment_only,ENSG00000004455,AK2
post_treatment_only,ENSG00000004478,FKBP4
post_treatment_only,ENSG00000004534,RBM6
post_treatment_only,ENSG00000004766,CCDC132
post_treatment_only,ENSG00000004864,SLC25A13
post_treatment_only,ENSG00000004897,CDC27
post_treatment_only,ENSG00000004961,HCCS
post_treatment_only,ENSG00000004975,DVL2
post_treatment_only,ENSG00000005059,CCDC109B
post_treatment_only,ENSG00000005100,DHX33
post_treatment_only,ENSG00000005156,LIG3
post_treatment_only,ENSG00000005187,ACSM3
post_treatment_only,ENSG00000005436,GCFC2
post_treatment_only,ENSG00000005448,WDR54
post_treatment_only,ENSG00000005469,CROT
post_treatment_only,ENSG00000005471,ABCB4
post_treatment_only,ENSG00000005513,SOX8
post_treatment_only,ENSG00000005700,IBTK
post_treatment_only,ENSG00000005810,MYCBP2
post_treatment_only,ENSG00000005884,ITGA3
post_treatment_only,ENSG00000005955,ENSG00000005955
post_treatment_only,ENSG00000006025,OSBPL7
post_treatment_only,ENSG00000006114,ENSG00000006114
post_treatment_only,ENSG00000006125,AP2B1
post_treatment_only,ENSG00000006194,ZNF263
post_treatment_only,ENSG00000006327,TNFRSF12A
post_treatment_only,ENSG00000006432,MAP3K9
post_treatment_only,ENSG00000006451,RALA
post_treatment_only,ENSG00000006530,AGK
post_treatment_only,ENSG00000006607,FARP2
post_treatment_only,ENSG00000006625,GGCT
post_treatment_only,ENSG00000006634,DBF4
post_treatment_only,ENSG00000006695,COX10
post_treatment_only,ENSG00000006715,VPS41
post_treatment_only,ENSG00000006740,ARHGAP44
post_treatment_only,ENSG00000006744,ELAC2
post_treatment_only,ENSG00000007168,PAFAH1B1
post_treatment_only,ENSG00000007202,KIAA0100
post_treatment_only,ENSG00000007312,CD79B
post_treatment_only,ENSG00000007314,SCN4A
post_treatment_only,ENSG00000007372,PAX6
post_treatment_only,ENSG00000007392,LUC7L
post_treatment_only,ENSG00000007545,CRAMP1L
post_treatment_only,ENSG00000007923,DNAJC11
post_treatment_only,ENSG00000008226,DLEC1
post_treatment_only,ENSG00000008282,SYPL1
post_treatment_only,ENSG00000008405,CRY1
post_treatment_only,ENSG00000008513,ST3GAL1
post_treatment_only,ENSG00000008516,MMP25
post_treatment_only,ENSG00000008517,IL32
post_treatment_only,ENSG00000008710,PKD1
post_treatment_only,ENSG00000008838,MED24
post_treatment_only,ENSG00000008853,RHOBTB2
post_treatment_only,ENSG00000008869,HEATR5B
post_treatment_only,ENSG00000008952,SEC62
post_treatment_only,ENSG00000009307,CSDE1
post_treatment_only,ENSG00000009335,UBE3C
post_treatment_only,ENSG00000009413,REV3L
post_treatment_only,ENSG00000009780,FAM76A
post_treatment_only,ENSG00000009790,TRAF3IP3
post_treatment_only,ENSG00000009950,MLXIPL
post_treatment_only,ENSG00000010017,RANBP9
post_treatment_only,ENSG00000010030,ETV7
post_treatment_only,ENSG00000010292,NCAPD2
post_treatment_only,ENSG00000010319,SEMA3G
post_treatment_only,ENSG00000010803,SCMH1
post_treatment_only,ENSG00000011007,TCEB3
post_treatment_only,ENSG00000011021,CLCN6
post_treatment_only,ENSG00000011114,BTBD7
post_treatment_only,ENSG00000011143,MKS1
post_treatment_only,ENSG00000011201,KAL1
post_treatment_only,ENSG00000011260,UTP18
post_treatment_only,ENSG00000011275,RNF216
post_treatment_only,ENSG00000011295,TTC19
post_treatment_only,ENSG00000011304,PTBP1
post_treatment_only,ENSG00000011376,LARS2
post_treatment_only,ENSG00000011422,PLAUR
post_treatment_only,ENSG00000011451,WIZ
post_treatment_only,ENSG00000011454,RABGAP1
post_treatment_only,ENSG00000011478,QPCTL
post_treatment_only,ENSG00000011485,PPP5C
post_treatment_only,ENSG00000011523,CEP68
post_treatment_only,ENSG00000012124,CD22
post_treatment_only,ENSG00000012174,MBTPS2
post_treatment_only,ENSG00000012983,MAP4K5
post_treatment_only,ENSG00000013364,MVP
post_treatment_only,ENSG00000013523,ANGEL1
post_treatment_only,ENSG00000013561,RNF14
post_treatment_only,ENSG00000013619,MAMLD1
post_treatment_only,ENSG00000015133,CCDC88C
post_treatment_only,ENSG00000015171,ZMYND11
post_treatment_only,ENSG00000015285,WAS
post_treatment_only,ENSG00000015479,MATR3
post_treatment_only,ENSG00000015676,NUDCD3
post_treatment_only,ENSG00000016864,GLT8D1
post_treatment_only,ENSG00000017260,ATP2C1
post_treatment_only,ENSG00000018189,RUFY3
post_treatment_only,ENSG00000018699,TTC27
post_treatment_only,ENSG00000019169,MARCO
post_treatment_only,ENSG00000019485,PRDM11
post_treatment_only,ENSG00000019995,ZRANB1
post_treatment_only,ENSG00000020129,NCDN
post_treatment_only,ENSG00000020256,ZFP64
post_treatment_only,ENSG00000020426,MNAT1
post_treatment_only,ENSG00000021300,PLEKHB1
post_treatment_only,ENSG00000021355,SERPINB1
post_treatment_only,ENSG00000021776,AQR
post_treatment_only,ENSG00000022267,FHL1
post_treatment_only,ENSG00000022277,RTFDC1
post_treatment_only,ENSG00000023228,NDUFS1
post_treatment_only,ENSG00000023445,BIRC3
post_treatment_only,ENSG00000023516,AKAP11
post_treatment_only,ENSG00000023734,STRAP
post_treatment_only,ENSG00000024862,CCDC28A
post_treatment_only,ENSG00000025039,RRAGD
post_treatment_only,ENSG00000025708,TYMP
post_treatment_only,ENSG00000025770,NCAPH2
post_treatment_only,ENSG00000025772,TOMM34
post_treatment_only,ENSG00000025796,SEC63
post_treatment_only,ENSG00000025800,KPNA6
post_treatment_only,ENSG00000027001,MIPEP
post_treatment_only,ENSG00000027075,PRKCH
post_treatment_only,ENSG00000028203,VEZT
post_treatment_only,ENSG00000028310,BRD9
post_treatment_only,ENSG00000029364,SLC39A9
post_treatment_only,ENSG00000029725,RABEP1
post_treatment_only,ENSG00000030066,NUP160
post_treatment_only,ENSG00000030419,IKZF2
post_treatment_only,ENSG00000030582,GRN
post_treatment_only,ENSG00000031003,FAM13B
post_treatment_only,ENSG00000032742,IFT88
post_treatment_only,ENSG00000033011,ALG1
post_treatment_only,ENSG00000033030,ZCCHC8
post_treatment_only,ENSG00000033050,ABCF2
post_treatment_only,ENSG00000033170,FUT8
post_treatment_only,ENSG00000033867,SLC4A7
post_treatment_only,ENSG00000034239,EFCAB1
post_treatment_only,ENSG00000034533,ASTE1
post_treatment_only,ENSG00000034693,PEX3
post_treatment_only,ENSG00000035141,FAM136A
post_treatment_only,ENSG00000035403,VCL
post_treatment_only,ENSG00000035720,STAP1
post_treatment_only,ENSG00000035928,RFC1
post_treatment_only,ENSG00000036549,ZZZ3
post_treatment_only,ENSG00000037042,TUBG2
post_treatment_only,ENSG00000037280,FLT4
post_treatment_only,ENSG00000037474,NSUN2
post_treatment_only,ENSG00000037757,MRI1
post_treatment_only,ENSG00000037897,METTL1
post_treatment_only,ENSG00000038358,EDC4
post_treatment_only,ENSG00000038382,TRIO
post_treatment_only,ENSG00000038532,CLEC16A
post_treatment_only,ENSG00000038945,MSR1
post_treatment_only,ENSG00000039068,CDH1
post_treatment_only,ENSG00000039123,SKIV2L2
post_treatment_only,ENSG00000039560,RAI14
post_treatment_only,ENSG00000040199,PHLPP2
post_treatment_only,ENSG00000040275,SPDL1
post_treatment_only,ENSG00000040933,INPP4A
post_treatment_only,ENSG00000041802,LSG1
post_treatment_only,ENSG00000042088,TDP1
post_treatment_only,ENSG00000042317,SPATA7
post_treatment_only,ENSG00000042429,MED17
post_treatment_only,ENSG00000042980,ADAM28
post_treatment_only,ENSG00000043143,JADE2
post_treatment_only,ENSG00000046604,DSG2
post_treatment_only,ENSG00000046647,GEMIN8
post_treatment_only,ENSG00000046651,OFD1
post_treatment_only,ENSG00000046653,GPM6B
post_treatment_only,ENSG00000047315,POLR2B
post_treatment_only,ENSG00000047346,FAM214A
post_treatment_only,ENSG00000047410,TPR
post_treatment_only,ENSG00000047932,GOPC
post_treatment_only,ENSG00000048162,NOP16
post_treatment_only,ENSG00000048405,ZNF800
post_treatment_only,ENSG00000048471,SNX29
post_treatment_only,ENSG00000048544,MRPS10
post_treatment_only,ENSG00000048649,RSF1
post_treatment_only,ENSG00000048707,VPS13D
post_treatment_only,ENSG00000048991,R3HDM1
post_treatment_only,ENSG00000049089,COL9A2
post_treatment_only,ENSG00000049618,ARID1B
post_treatment_only,ENSG00000049759,NEDD4L
post_treatment_only,ENSG00000049769,PPP1R3F
post_treatment_only,ENSG00000049883,PTCD2
post_treatment_only,ENSG00000050165,DKK3
post_treatment_only,ENSG00000050327,ARHGEF5
post_treatment_only,ENSG00000050393,MCUR1
post_treatment_only,ENSG00000050405,LIMA1
