arm,arm_label,ensembl,gene_symbol,mean_abs_shap,shap_direction_high_expression,univariate_F,rank
week_24,Week 24,ENSG00000153107,ANAPC1,0.0,0.0,35.335595858157525,37
week_24,Week 24,ENSG00000152127,MGAT5,0.0,0.0,34.03675284960535,38
week_24,Week 24,ENSG00000148843,PDCD11,0.0,0.0,32.367717266026496,39
week_24,Week 24,ENSG00000145041,VPRBP,0.0,0.0,34.28204625595667,40
week_24,Week 24,ENSG00000142207,URB1,0.0,0.0,35.31309220285701,41
week_24,Week 24,ENSG00000136628,EPRS,0.0,0.0,32.627529543580906,42
week_24,Week 24,ENSG00000133706,LARS,0.0,0.0,32.06056325080192,43
week_24,Week 24,ENSG00000129680,MAP7D3,0.0,0.0,33.554103785767026,44
week_24,Week 24,ENSG00000127804,METTL16,0.0,0.0,32.21606593951225,45
week_24,Week 24,ENSG00000110048,OSBP,0.0,0.0,32.336760179275174,46
week_24,Week 24,ENSG00000095203,EPB41L4B,0.0,0.0,33.91461319600594,47
week_24,Week 24,ENSG00000085511,MAP3K4,0.0,0.0,32.33338428452004,48
week_24,Week 24,ENSG00000084463,WBP11,0.0,0.0,34.30168782150974,49
week_24,Week 24,ENSG00000144749,LRIG1,0.0,0.0,32.87395887917256,50
