arm,arm_label,ensembl,gene_symbol,log2_fold_change,p_value,fdr,mean_unfavourable,mean_cured
DX,Pre-treatment,ENSG00000179023,KLHDC7A,-0.013006589948482,0.6567181279286234,0.8120146106682525,0.2323649289371447,0.2453715188856267
DX,Pre-treatment,ENSG00000232347,RP11-488L18.8,0.015587653499164161,0.6567181279286234,0.8120146106682525,0.14098518906000637,0.1253975355608422
DX,Pre-treatment,ENSG00000237484,AP000476.1,-0.02258550460178721,0.656730028580494,0.8120146106682525,0.17394694593252463,0.19653245053431184
DX,Pre-treatment,ENSG00000033122,LRRC7,-0.0032854409723083455,0.6567631380135868,0.8120146106682525,0.09253490412459557,0.09582034509690392
DX,Pre-treatment,ENSG00000255582,OR10G2,-0.02698542223552053,0.6614527858514616,0.8120146106682525,0.0642514615045743,0.09123688374009482
DX,Pre-treatment,ENSG00000159409,CELF3,-0.020524744663275724,0.6617097652933452,0.8120146106682525,0.0809858264816086,0.10151057114488432
DX,Pre-treatment,ENSG00000106688,SLC1A1,-0.018172249845160818,0.6617097652933452,0.8120146106682525,0.04963726294016506,0.06780951278532588
DX,Pre-treatment,ENSG00000261043,MIR4313,0.0069407791600398505,0.6620758674764797,0.8120146106682525,0.12724364724871148,0.12030286808867163
DX,Pre-treatment,ENSG00000131126,TEX101,-0.04187373367552054,0.6620758674764797,0.8120146106682525,0.11476031780850009,0.15663405148402063
DX,Pre-treatment,ENSG00000133019,CHRM3,-0.015429455052074534,0.6621124124689842,0.8120146106682525,0.08450920500601115,0.09993866005808569
DX,Pre-treatment,ENSG00000165985,C1QL3,-0.07692766964632997,0.6621398134471598,0.8120146106682525,0.4703626568802474,0.5472903265265774
DX,Pre-treatment,ENSG00000075290,WNT8B,-0.020447831545047673,0.6621593815005427,0.8120146106682525,0.1229800519700601,0.14342788351510777
DX,Pre-treatment,ENSG00000272911,RP11-74E22.6,0.014900711133481959,0.6621593815005427,0.8120146106682525,0.1519938047248321,0.13709309359135013
DX,Pre-treatment,ENSG00000070031,SCT,-0.014567977411233612,0.6621724249839626,0.8120146106682525,0.13812686588974202,0.15269484330097563
DX,Pre-treatment,ENSG00000251161,RP11-540O11.1,-0.016454225485664525,0.6621724249839626,0.8120146106682525,0.1071462907352446,0.12360051622090913
DX,Pre-treatment,ENSG00000255748,AC226150.4,0.00570102734381836,0.6621802503501256,0.8120146106682525,0.18193955012530205,0.1762385227814837
DX,Pre-treatment,ENSG00000151838,CCDC175,-0.025270147065261428,0.6621802503501256,0.8120146106682525,0.17123824727176992,0.19650839433703135
DX,Pre-treatment,ENSG00000100253,MIOX,0.002794058569499186,0.6621802503501256,0.8120146106682525,0.1174109563231824,0.11461689775368321
DX,Pre-treatment,ENSG00000120659,TNFSF11,0.002163589570704394,0.6621802503501256,0.8120146106682525,0.17848378515873556,0.17632019558803116
DX,Pre-treatment,ENSG00000198729,PPP1R14C,-0.027612208012824158,0.6621841628296383,0.8120146106682525,0.12540358285236902,0.15301579086519318
DX,Pre-treatment,ENSG00000115266,APC2,0.048477014371177685,0.6621854669593195,0.8120146106682525,0.8162178634525753,0.7677408490813976
DX,Pre-treatment,ENSG00000271722,RP11-446E9.2,0.010118540019290911,0.6621854669593195,0.8120146106682525,2.1358477757888386,2.1257292357695476
DX,Pre-treatment,ENSG00000171055,FEZ2,0.045631153578370665,0.6621854669593195,0.8120146106682525,4.4834472040010525,4.437816050422682
DX,Pre-treatment,ENSG00000005381,MPO,0.18326118908941913,0.6621854669593195,0.8120146106682525,3.688256512236861,3.5049953231474418
DX,Pre-treatment,ENSG00000146700,SRCRB4D,-0.04426778587470048,0.6621854669593195,0.8120146106682525,0.5657755706576288,0.6100433565323293
DX,Pre-treatment,ENSG00000213714,FAM209B,-0.04488807635028713,0.6621854669593195,0.8120146106682525,0.9352291997153529,0.98011727606564
DX,Pre-treatment,ENSG00000092295,TGM1,-0.0897396091035858,0.6621854669593195,0.8120146106682525,1.376164229431017,1.4659038385346028
DX,Pre-treatment,ENSG00000197223,C1D,-0.02836376680451158,0.6621854669593195,0.8120146106682525,2.9866186416421123,3.014982408446624
DX,Pre-treatment,ENSG00000167094,TTC16,-0.005486920736198275,0.6621854669593195,0.8120146106682525,3.3781690964045774,3.3836560171407757
