ensembl,mean_failure,mean_cure,log2FC,p_value,rank_biserial,fdr,gene_symbol
ENSG00000134285,1.7327603436599548,1.7451541011191496,-0.010282304746772185,0.6156920008984262,0.11876075731497415,0.8374312853224096,FKBP11
ENSG00000156471,2.0135868322924275,2.0164293328836833,-0.0020351591738915365,0.6156920008984262,0.11876075731497415,0.8374312853224096,PTDSS1
ENSG00000124731,2.190595900212536,2.1786164262613843,0.007911160946132837,0.6156920008984262,-0.11876075731497426,0.8374312853224096,TREM1
ENSG00000186141,1.6746693722562274,1.6797379752900112,-0.004359908183092385,0.6156920008984262,0.11876075731497415,0.8374312853224096,POLR3C
ENSG00000105612,1.9759841651715762,1.9685975232944601,0.005403201098418305,0.6156920008984262,-0.11876075731497426,0.8374312853224096,DNASE2
ENSG00000196417,1.1469658846094022,1.1771996085890974,-0.03753648724872292,0.6156920008984262,0.11876075731497415,0.8374312853224096,ZNF765
ENSG00000196497,1.7403345767104828,1.749690206872256,-0.007734818174014086,0.6156920008984262,0.11876075731497415,0.8374312853224096,IPO4
ENSG00000139746,1.8140836709970323,1.823292833134031,-0.007305287704837578,0.6156920008984262,0.11876075731497415,0.8374312853224096,RBM26
ENSG00000167965,1.7176165357298656,1.7267437274555038,-0.007645997542193008,0.6156920008984262,0.11876075731497415,0.8374312853224096,MLST8
ENSG00000174695,1.9997568296983066,1.9843428428930494,0.011163271551554069,0.6156920008984262,-0.11876075731497426,0.8374312853224096,TMEM167A
ENSG00000189180,1.9430108970586581,1.930833787388962,0.009070014426604376,0.6156920008984262,-0.11876075731497426,0.8374312853224096,ZNF33A
ENSG00000138399,1.321785228460681,1.3376668280607957,-0.01723105124765848,0.6156920008984262,0.11876075731497415,0.8374312853224096,FASTKD1
ENSG00000257365,1.6147708616711356,1.6115423241664917,0.002887380319786283,0.6156920008984262,-0.11876075731497426,0.8374312853224096,FNTB
ENSG00000140259,1.8318543421790614,1.8245473967017094,0.005766165090381168,0.6156920008984262,-0.11876075731497426,0.8374312853224096,MFAP1
