ensembl,gene_symbol,mean_failure_log2,mean_cure_log2,log2FC,p_value,fdr
ENSG00000117362,APH1A,7.952536679083051,7.766559016003246,0.18597766307980557,0.004046821867966707,0.4539131519947744
ENSG00000175567,UCP2,8.749516863143251,9.112748297454635,-0.36323143431138405,0.004046821867966707,0.4539131519947744
ENSG00000198301,SDAD1,4.35463389952689,4.591400310653266,-0.23676641112637586,0.004046821867966707,0.4539131519947744
ENSG00000163629,PTPN13,0.0415176381433844,0.8673417088917037,-0.8258240707483193,0.004046821867966707,0.4539131519947744
ENSG00000159921,GNE,3.2999280593107505,3.4965684988901686,-0.19664043957941812,0.004046821867966707,0.4539131519947744
ENSG00000130643,CALY,-3.3334732975712207,-2.1722817449398963,-1.1611915526313243,0.004286344561696749,0.4539131519947744
ENSG00000260861,RP4-576H24.4,0.062445506471291164,-0.45148292420294783,0.513928430674239,0.004286344561696749,0.4539131519947744
ENSG00000128191,DGCR8,4.562308392530823,4.844847160585256,-0.2825387680544331,0.004286344561696749,0.4539131519947744
ENSG00000105443,CYTH2,5.669187197401588,5.449690240382703,0.21949695701888494,0.004286344561696749,0.4539131519947744
ENSG00000124228,DDX27,5.048573539101802,5.311010177133996,-0.2624366380321943,0.004286344561696749,0.4539131519947744
ENSG00000254470,AP5B1,8.527930125782065,7.999800198691992,0.528129927090073,0.004286344561696749,0.4539131519947744
ENSG00000159708,LRRC36,-3.5905617651823647,-2.629885860288892,-0.9606759048934728,0.004537813382252197,0.4539131519947744
ENSG00000165733,BMS1,4.1725854878445165,4.4695880071456315,-0.297002519301115,0.004537813382252197,0.4539131519947744
ENSG00000099875,MKNK2,9.705029735010502,9.378181429287517,0.32684830572298473,0.004537813382252197,0.4539131519947744
ENSG00000158887,MPZ,4.165365915507482,3.492451031451949,0.6729148840555328,0.004537813382252197,0.4539131519947744
ENSG00000181274,FRAT2,9.612878174124347,9.148416606883968,0.4644615672403791,0.004537813382252197,0.4539131519947744
ENSG00000122512,PMS2,2.4163122829165156,2.6225633027211983,-0.20625101980468274,0.004537813382252197,0.4539131519947744
ENSG00000160293,VAV2,3.928740218259907,4.284613339826875,-0.3558731215669684,0.004537813382252197,0.4539131519947744
ENSG00000136098,NEK3,1.6697561315097684,1.9698943119604286,-0.3001381804506602,0.004537813382252197,0.4539131519947744
ENSG00000160446,ZDHHC12,6.72170598081635,6.411822752067692,0.30988322874865837,0.004537813382252197,0.4539131519947744
